['Front Lights', '13:59:00', '13:59:00']
['Front Lights', '13:57:00', '1 day, 3:56:00']
['Front Lights', '13:54:00', '1 day, 17:50:00']
['Front Lights', '13:53:01', '2 days, 7:43:01']
['Front Lights', '14:00:26', '2 days, 21:43:27']
['Front Lights', '13:49:05', '3 days, 11:32:32']
['Front Lights', '13:47:00', '4 days, 1:19:32']
['Front Lights', '13:45:00', '4 days, 15:04:32']
['Front Lights', '13:43:00', '5 days, 4:47:32']
['Front Lights', '13:40:00', '5 days, 18:27:32']
['Front Lights', '13:39:00', '6 days, 8:06:32']
['Front Lights', '13:38:01', '6 days, 21:44:33']
['Front Lights', '13:34:00', '7 days, 11:18:33']
['Front Lights', '13:31:01', '8 days, 0:49:34']
['Front Lights', '13:29:00', '8 days, 14:18:34']
['Front Lights', '13:27:00', '9 days, 3:45:34']
['Front Lights', '13:24:00', '9 days, 17:09:34']
['Front Lights', '13:22:00', '10 days, 6:31:34']
['Front Lights', '13:20:47', '10 days, 19:52:21']
['Front Lights', '13:16:01', '11 days, 9:08:22']
['Front Lights', '12:04:36', '11 days, 21:12:58']
['Front Lights', '13:13:01', '12 days, 10:25:59']
['Front Lights', '13:11:00', '12 days, 23:36:59']
['Front Lights', '13:06:00', '13 days, 12:42:59']
['Front Lights', '13:04:00', '14 days, 1:46:59']
['Front Lights', '13:02:00', '14 days, 14:48:59']
['Front Lights', '12:58:01', '15 days, 3:47:00']
['Front Lights', '12:58:00', '15 days, 16:45:00']
['Front Lights', '12:54:00', '16 days, 5:39:00']
['Front Lights', '12:49:00', '16 days, 18:28:00']
['Front Lights', '12:49:00', '17 days, 7:17:00']
['Front Lights', '12:48:00', '17 days, 20:05:00']
['Front Lights', '12:43:00', '18 days, 8:48:00']
['Front Lights', '12:41:00', '18 days, 21:29:00']
['Front Lights', '12:39:00', '19 days, 10:08:00']
['Front Lights', '12:37:00', '19 days, 22:45:00']
['Front Lights', '12:32:00', '20 days, 11:17:00']
['Front Lights', '12:29:01', '20 days, 23:46:01']
['Front Lights', '12:24:20', '21 days, 12:10:21']
['Front Lights', '12:25:00', '22 days, 0:35:21']
['Front Lights', '12:21:00', '22 days, 12:56:21']
['Front Lights', '12:18:01', '23 days, 1:14:22']
['Front Lights', '12:13:00', '23 days, 13:27:22']
['Front Lights', '12:12:00', '24 days, 1:39:22']
['Front Lights', '12:08:00', '24 days, 13:47:22']
['Front Lights', '12:06:00', '25 days, 1:53:22']
['Front Lights', '12:04:00', '25 days, 13:57:22']
['Front Lights', '12:02:00', '26 days, 1:59:22']
['Front Lights', '11:59:00', '26 days, 13:58:22']
['Front Lights', '11:54:00', '27 days, 1:52:22']
['Front Lights', '11:53:00', '27 days, 13:45:22']
['Front Lights', '12:49:00', '28 days, 2:34:22']
['Front Lights', '11:47:00', '28 days, 14:21:22']
['Front Lights', '11:44:00', '29 days, 2:05:22']
['Front Lights', '11:40:02', '29 days, 13:45:24']
['Front Lights', '11:36:00', '30 days, 1:21:24']
['Front Lights', '11:33:00', '30 days, 12:54:24']
['Front Lights', '20:31:38', '31 days, 9:26:02']
['Front Lights', '11:30:00', '31 days, 20:56:02']
['Front Lights', '11:26:00', '32 days, 8:22:02']
['Front Lights', '11:20:14', '32 days, 19:42:16']
['Front Lights', '11:19:00', '33 days, 7:01:16']
['Front Lights', '11:17:01', '33 days, 18:18:17']
['Front Lights', '11:13:00', '34 days, 5:31:17']
['Front Lights', '11:10:58', '34 days, 16:42:15']
['Front Lights', '11:07:00', '35 days, 3:49:15']
['Front Lights', '11:04:01', '35 days, 14:53:16']
['Front Lights', '11:01:00', '36 days, 1:54:16']
['Front Lights', '11:00:00', '36 days, 12:54:16']
['Front Lights', '10:54:00', '36 days, 23:48:16']
['Front Lights', '10:52:00', '37 days, 10:40:16']
['Front Lights', '10:49:00', '37 days, 21:29:16']
['Front Lights', '10:48:00', '38 days, 8:17:16']
['Front Lights', '10:44:00', '38 days, 19:01:16']
['Front Lights', '10:42:00', '39 days, 5:43:16']
['Front Lights', '10:38:00', '39 days, 16:21:16']
['Front Lights', '10:34:00', '40 days, 2:55:16']
['Front Lights', '10:31:00', '40 days, 13:26:16']
['Front Lights', '10:27:00', '40 days, 23:53:16']
['Front Lights', '10:25:01', '41 days, 10:18:17']
['Front Lights', '10:26:00', '41 days, 20:44:17']
['Front Lights', '10:21:00', '42 days, 7:05:17']
['Front Lights', '10:16:00', '42 days, 17:21:17']
['Front Lights', '10:13:00', '43 days, 3:34:17']
['Front Lights', '10:10:01', '43 days, 13:44:18']
['Front Lights', '10:06:00', '43 days, 23:50:18']
['Front Lights', '0:03:13', '43 days, 23:53:31']
